killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
AKM,ZhangDaDaZZZ,7,440380.3,548100.6,MIRAMAR,2U4GBNA0Ymm23kvxZaf0h-1hQIHA8SBhs4bxqrktYEFq73qH8INYMZMmDnFrOuyp,609,Plutonord,26,440490.5,547786.2
AKM,MJC1025,13,490535.7,348498.5,ERANGEL,2U4GBNA0Ymn1uko0Y5ROEf2A63zJTyPBD8XwqOYfAJiq6peth1GWMGuhc0ltCUMl,989,Dumbassgeek,18,490739.8,348909
M16A4,KlausWasTaken,11,665946.2,107312.3,ERANGEL,2U4GBNA0YmlnyReM2OZY4P6RmziiGXILQzZ2jXeVHDDYdCPlctJCIkTWWdaxuIy0,158,CoolHaoChen,9,665270.2,111872.7
Micro UZI,ChiggaJay,7,570725.8,247507,ERANGEL,2U4GBNA0Ymks-mI_1zDvD49Vnr1kfSEHIprTwjnOnpiNZo5KzKNKFVPchqFFM7zf,214,SKHY,20,570416.9,247717.6
S1897,chrie-Z,23,344463.8,306297.6,ERANGEL,2U4GBNA0YmlWWPz0Njvfj82grK8n2e76SK8hyFsdlbLoJpJik2E4tGJMOdTqbR0i,255,OutMePub,13,344455.1,306165.2
M416,Night__Knight,16,152650.7,290486,ERANGEL,2U4GBNA0Ymk2UukE8sikpr0RFqu-CbbPIByuvL6gFLJK4Nf8xfoibw687ZXN9MEa,607,Adelus,15,152984,289873.1
S1897,czb123,13,456174.6,98892.34,ERANGEL,2U4GBNA0Ymlou3LRhjBCjNUvvBGZ1lv5sfIadrhdBl7f6O6lgWYvBHIOTuNC75FO,314,Haozishu85,17,456695.3,99302.98
M16A4,Longbros3,11,420741.8,327588.2,ERANGEL,2U4GBNA0YmlMqsLyd9qR5tGraJyWc4MKPOVF7nFtT64QgXDzEqbDYtprB7aRb6wN,1116,Sovro,17,421490.1,327898.9
Mini 14,C137-Rick,46,369619.3,418067.2,ERANGEL,2U4GBNA0YmmrPcZyT5RqjW1W5wPLHfNt6t2bX1qmEujgGzqbll93mwJXLff8uV8w,232,VIIIXIIXXIV,66,370338.8,415840.8
AUG,LieNyL,7,667314.3,479397.2,MIRAMAR,2U4GBNA0YmmWNKct8vJTD2AQmwTIxZTz_q0j4Y2tiu71ujLcJIGw5SM9EGbBJFQk,1690,Sherry_Mushroom,6,666926.9,479208.6
Kar98k,YANSHENI,11,443958.2,622956.9,ERANGEL,2U4GBNA0YmnK9FE1_v6SmpmbLOs7zh_vJxzj1-PvF0_UIYuFtP521jl1AuniGhpC,520,SirMouse,16,441304.6,622142.4
M416,666qaz,1,282856.1,460205.8,NA,2U4GBNA0YmmtCpM5o7PVCwrdRP-RuBJbMK4ZilJSbk9OhvxdOe7obnJrjEQJkRtz,1065,DAREbb,17,319061.7,435488.1
SKS,Chastlove7,3,380265.2,599757.6,ERANGEL,2U4GBNA0Ymlk-vy0qdhc5jlBy98kQ7T_BQvwGmy5tLnPQrvo3xyfCNwiwbc0JW4v,966,Marauder66,27,367704.2,584778.9
M16A4,YVR-AirportBear,8,437913.3,622984.9,ERANGEL,2U4GBNA0YmmoMA1KZk2zPm0U_7ChsL4dq9WRfOBn89KlYDsdk8m0Q3HTckLalEK8,132,Baisha_Yu,23,438025.1,623072
Mini 14,poloyorey,4,242122.6,279201.3,ERANGEL,2U4GBNA0YmkMYNhDrMCrtk9QiGVti2R4NiW2S6f7lTOYfSpK9-UdDA8h6-y9ZpwX,903,Ksylar,NA,226339.7,267297.4
Vector,pigezci,1,445098.3,333887.3,ERANGEL,2U4GBNA0YmnVz0GOjEjQ9Mc_ASZ97w7VdwD_uoHZAxjL28bsLIeS_YHo8VRfzOEa,450,PANSCEA666,65,444924.9,334217.8
Down and Out,VignyLoveMatata,2,193871,288453.2,MIRAMAR,2U4GBNA0YmmLZp0PZEHVS9VmvVjjTagdDVjJAYTfne2AwNjkhxVWmdBf4C344nPR,270,sky_XiaoNan,23,195071.7,287048.7
Bluezone,NA,NA,NA,NA,ERANGEL,2U4GBNA0YmnK3tKcR1UrT_U9HVtgksrE54onj-nsvg2ytqa4ebhXjSELkfdi6Cxy,860,SXHTt,24,0,0
Mini 14,MeekoZzz,5,661767.8,386766.7,ERANGEL,2U4GBNA0YmkXZpIWc1I3_5n4TpxSvgIEYwJy8g5St21ywZjfJvzR_ZvLYjX2LOxT,1522,PVT_Arms,6,647832.9,383805.5
Down and Out,LanParty,23,572492.9,385472.8,ERANGEL,2U4GBNA0YmnhanMwj9PYj4W5XUFxb4fAUOGKOYIpvOjbtU-In-T0Yml5qWyyuw5a,191,MIKIKIAAAA,35,570528.4,388965.1
M416,auxming,32,336214.7,157358.6,ERANGEL,2U4GBNA0YmnK62yB1nS8tlJT58q5MrBJshSRqTKQgEnF9NJ0UXTQzF1e8yoCWkty,638,DIguangcheng,55,336099.8,157925.3
Dacia,EatMyCat,3,372016.8,447989.3,ERANGEL,2U4GBNA0YmlJYFMs5gmiyuiCUkkit4wai2hxyitxWWYGblsef1T4to1ld9JfT5ZF,1273,mdmmdm,13,359459.8,459381.2
Down and Out,KevNKillz,11,180225.9,281047.3,ERANGEL,2U4GBNA0YmkitXW_XNFU-lu0Emxh_XpJWtpdu12_ZZOah86KvVLa7i_BQsdj7-2D,645,Maniacea,29,185094.9,280831
Kar98k,Ultra7mag,8,481586.3,299835.9,ERANGEL,2U4GBNA0YmmwCL1TDGJnxgLMV6K45j8MozvgYbQYSLAuNSLLQfW2vqQhdScGBP89,1037,Expunged,5,451052.6,294560.5
Down and Out,MingYi,2,689661.8,265478.8,MIRAMAR,2U4GBNA0Ymlh7oGUVTWmONCSRTT1ufq07XVc0g2aYePf82RfSOkI_i9FcpMihHTx,1598,Moonlight2458,4,691859.5,263635.8
